geo,geo.legacy_id,geo.name,geo__territory,geo__un_state,geo.g_region,geo.g_west_rest
msr,msr,Montserrat,true,,ame,rest
mar,mar,Morocco,true,true,afr,rest
moz,moz,Mozambique,true,true,afr,rest
mmr,mmr,Myanmar,true,true,asi,rest
nam,nam,Namibia,true,true,afr,rest
nru,nru,Nauru,true,true,asi,rest
npl,npl,Nepal,true,true,asi,rest
nld,nld,Netherlands,true,true,eur,west
ant,ant,Netherlands Antilles,true,,ame,rest
ncl,ncl,New Caledonia,true,,asi,rest
nzl,nzl,New Zealand,true,true,asi,west
nic,nic,Nicaragua,true,true,ame,rest
ner,ner,Niger,true,true,afr,rest
nga,nga,Nigeria,true,true,afr,rest
niu,niu,Niue,true,true,asi,rest
nfk,nfk,Norfolk Island,true,,asi,rest
mnp,mnp,Northern Mariana Islands,true,,asi,rest
nor,nor,Norway,true,true,eur,west
omn,omn,Oman,true,true,asi,rest
pak,pak,Pakistan,true,true,asi,rest
plw,plw,Palau,true,true,asi,rest
pan,pan,Panama,true,true,ame,rest
png,png,Papua New Guinea,true,true,asi,rest
pry,pry,Paraguay,true,true,ame,rest
per,per,Peru,true,true,ame,rest
phl,phl,Philippines,true,true,asi,rest
pcn,pcn,Pitcairn,true,,asi,rest
pol,pol,Poland,true,true,eur,rest
prt,prt,Portugal,true,true,eur,west
pri,pri,Puerto Rico,true,,ame,rest
qat,qat,Qatar,true,true,asi,rest
reu,reu,Reunion,true,,afr,rest
rou,rou,Romania,true,true,eur,rest
rus,rus,Russia,true,true,eur,rest
rwa,rwa,Rwanda,true,true,afr,rest
0stb,_stb,St. Barthélemy,true,,ame,rest
shn,shn,St. Helena,true,,afr,rest
kna,kna,St. Kitts and Nevis,true,,ame,rest
lca,lca,St. Lucia,true,true,ame,rest
vct,vct,St. Vincent and the Grenadines,true,,ame,rest
spm,spm,St.-Pierre-et-Miquelon,true,,ame,rest
wsm,wsm,Samoa,true,true,asi,rest
smr,smr,San Marino,true,true,eur,rest
stp,stp,Sao Tome and Principe,true,true,afr,rest
sau,sau,Saudi Arabia,true,true,asi,rest
sen,sen,Senegal,true,true,afr,rest
srb,srb,Serbia,true,true,eur,rest
syc,syc,Seychelles,true,true,afr,rest
sle,sle,Sierra Leone,true,true,afr,rest
sgp,sgp,Singapore,true,true,asi,rest
svk,svk,Slovak Republic,true,true,eur,rest
svn,svn,Slovenia,true,true,eur,rest
slb,slb,Solomon Islands,true,true,asi,rest
som,som,Somalia,true,true,afr,rest
zaf,zaf,South Africa,true,true,afr,rest
esp,esp,Spain,true,true,eur,rest
lka,lka,Sri Lanka,true,true,asi,rest
sdn,sdn,Sudan,true,true,afr,rest
sur,sur,Suriname,true,true,ame,rest
sjm,sjm,Svalbard,true,,eur,rest
swz,swz,Swaziland,true,true,afr,rest
swe,swe,Sweden,true,true,eur,west
che,che,Switzerland,true,true,eur,west
syr,syr,Syria,true,true,asi,rest
twn,twn,Taiwan,true,,asi,rest
tjk,tjk,Tajikistan,true,true,asi,rest
tza,tza,Tanzania,true,true,afr,rest
tha,tha,Thailand,true,true,asi,rest
tls,tls,Timor-Leste,true,true,asi,rest
tgo,tgo,Togo,true,true,afr,rest
tkl,tkl,Tokelau,true,,asi,rest
ton,ton,Tonga,true,true,asi,rest
tto,tto,Trinidad and Tobago,true,true,ame,rest
tun,tun,Tunisia,true,true,afr,rest
tur,tur,Turkey,true,true,eur,rest
tkm,tkm,Turkmenistan,true,true,asi,rest
tca,tca,Turks and Caicos Islands,true,,ame,rest
tuv,tuv,Tuvalu,true,true,asi,rest
uga,uga,Uganda,true,true,afr,rest
ukr,ukr,Ukraine,true,true,eur,rest
are,are,United Arab Emirates,true,true,asi,rest
gbr,gbr,United Kingdom,true,true,eur,west
usa,usa,United States,true,true,ame,west
ury,ury,Uruguay,true,true,ame,rest
uzb,uzb,Uzbekistan,true,true,asi,rest
wlf,wlf,Wallis et Futuna,true,,asi,rest
vut,vut,Vanuatu,true,true,asi,rest
ven,ven,Venezuela,true,true,ame,rest
pse,pse,West Bank and Gaza,true,true,asi,rest
esh,esh,Western Sahara,true,,afr,rest
vnm,vnm,Vietnam,true,true,asi,rest
vir,vir,Virgin Islands (U.S.),true,,ame,rest
yem,yem,Yemen,true,true,asi,rest
zmb,zmb,Zambia,true,true,afr,rest
zwe,zwe,Zimbabwe,true,true,afr,rest
ala,ala,Åland,true,,eur,rest
ssd,ssd,South Sudan,true,true,afr,rest
nl-cw,nl-cw,Curaçao,true,,ame,rest
sxm,sxm,Sint Maarten (Dutch part),true,,ame,rest
maf,maf,St. Martin (French part),true,,ame,rest
ata,ata,Antarctica,true,,eur,rest
