geo,geo.name,geo.is.territory,geo.is.un_state,geo.g_region4,geo.g_west_rest,geo.lat,geo.lng
vir,Virgin Islands (U.S.),TRUE,FALSE,ame,rest,18.34829,-64.98348
yem_north,North Yemen (former),TRUE,FALSE,asi,rest,,
yem_south,South Yemen (former),TRUE,FALSE,asi,rest,,
yem,Yemen,TRUE,TRUE,asi,rest,15.5,47.5
yug,Yugoslavia,TRUE,FALSE,eur,rest,,
zmb,Zambia,TRUE,TRUE,afr,rest,-14.33333,28.5
zwe,Zimbabwe,TRUE,TRUE,afr,rest,-19,29.75
ala,Åland,TRUE,FALSE,eur,rest,60.25,20
ssd,South Sudan,TRUE,TRUE,afr,rest,7.5,30
nld_curacao,Curaçao,TRUE,FALSE,ame,rest,12.16667,-68.96667
sxm,Sint Maarten (Dutch part),TRUE,FALSE,ame,rest,18.04167,-63.06667
maf,St. Martin (French part),TRUE,FALSE,ame,rest,,
ata,Antarctica,TRUE,FALSE,eur,rest,-90,0
bouisl,Bouvet Island,TRUE,FALSE,afr,rest,,
iot,British Indian Ocean Territory,TRUE,FALSE,asi,rest,-6,72
fra_clipperton,Clipperton,TRUE,FALSE,,rest,,
fra_antarc,French Southern and Antarctic Lands,TRUE,FALSE,,rest,,
pse_gaza,Gaza Strip,TRUE,FALSE,asi,rest,,
heard_a_mcd,Heard and McDonald Islands,TRUE,FALSE,,rest,,
north_mar,Northern Marianas,TRUE,FALSE,asi,rest,,
sgero_a_ssandw,South Georgia and the South Sandwich Islands,TRUE,FALSE,ame,rest,,
usa_minor_out_isl,US Minor Outlying Islands,TRUE,FALSE,ame,rest,,
virg_isl,Virgin Islands,TRUE,FALSE,ame,rest,,
pse_west_bank,West Bank,TRUE,FALSE,asi,rest,,
