geo,geo.name,year,geo.year.gdp
eur,Europe,2008,2.35629E+13
eur,Europe,2009,2.2402E+13
eur,Europe,2010,2.3035E+13
eur,Europe,2011,2.36169E+13
eur,Europe,2012,2.37415E+13
eur,Europe,2013,2.38665E+13
eur,Europe,2014,2.40896E+13
eur,Europe,2015,2.44553E+13
afr,Africa,1800,48080421023
afr,Africa,1810,48958754044
afr,Africa,1820,50544882377
afr,Africa,1830,55167633753
afr,Africa,1840,60487351103
afr,Africa,1850,66454482513
afr,Africa,1860,74214884206
afr,Africa,1870,82573221779
afr,Africa,1880,96916108686
afr,Africa,1890,1.09347E+11
afr,Africa,1900,1.23035E+11
afr,Africa,1910,1.53094E+11
afr,Africa,1920,1.82895E+11
afr,Africa,1930,2.3638E+11
afr,Africa,1940,3.37174E+11
afr,Africa,1950,4.67258E+11
afr,Africa,1951,4.89889E+11
afr,Africa,1952,5.11512E+11
afr,Africa,1953,5.30451E+11
afr,Africa,1954,5.55942E+11
afr,Africa,1955,5.7371E+11
afr,Africa,1956,5.96302E+11
afr,Africa,1957,6.17121E+11
afr,Africa,1958,6.41798E+11
afr,Africa,1959,6.76586E+11
afr,Africa,1960,7.41012E+11
afr,Africa,1961,7.41501E+11
afr,Africa,1962,7.64716E+11
afr,Africa,1963,8.25699E+11
afr,Africa,1964,8.84657E+11
afr,Africa,1965,9.21394E+11
afr,Africa,1966,9.45452E+11
afr,Africa,1967,9.59824E+11
afr,Africa,1968,1.02869E+12
afr,Africa,1969,1.11586E+12
afr,Africa,1970,1.21141E+12
afr,Africa,1971,1.26468E+12
afr,Africa,1972,1.30286E+12
afr,Africa,1973,1.34547E+12
afr,Africa,1974,1.40799E+12
afr,Africa,1975,1.42738E+12
afr,Africa,1976,1.53417E+12
afr,Africa,1977,1.61058E+12
afr,Africa,1978,1.65627E+12
afr,Africa,1979,1.7564E+12
afr,Africa,1980,1.83191E+12
afr,Africa,1981,1.79142E+12
afr,Africa,1982,1.83621E+12
afr,Africa,1983,1.84884E+12
afr,Africa,1984,1.88785E+12
afr,Africa,1985,1.95182E+12
afr,Africa,1986,1.95002E+12
afr,Africa,1987,1.94224E+12
afr,Africa,1988,2.00744E+12
afr,Africa,1989,2.08597E+12
afr,Africa,1990,2.15789E+12
afr,Africa,1991,2.19004E+12
afr,Africa,1992,2.19513E+12
afr,Africa,1993,2.20376E+12
afr,Africa,1994,2.25568E+12
afr,Africa,1995,2.30405E+12
afr,Africa,1996,2.42622E+12
afr,Africa,1997,2.50278E+12
afr,Africa,1998,2.5823E+12
afr,Africa,1999,2.65803E+12
afr,Africa,2000,2.75448E+12
afr,Africa,2001,2.86238E+12
afr,Africa,2002,2.96193E+12
afr,Africa,2003,3.12193E+12
afr,Africa,2004,3.4008E+12
afr,Africa,2005,3.58936E+12
afr,Africa,2006,3.81699E+12
afr,Africa,2007,4.065E+12
afr,Africa,2008,4.27791E+12
afr,Africa,2009,4.4143E+12
afr,Africa,2010,4.6479E+12
afr,Africa,2011,4.71212E+12
afr,Africa,2012,4.96206E+12
afr,Africa,2013,5.14417E+12
afr,Africa,2014,5.32957E+12
afr,Africa,2015,5.59251E+12
ame,The Americas,1800,37373644204
ame,The Americas,1810,43062551314
ame,The Americas,1820,49301689293
ame,The Americas,1830,64477262528
ame,The Americas,1840,86454456979
ame,The Americas,1850,1.18658E+11
ame,The Americas,1860,1.74849E+11
ame,The Americas,1870,2.36517E+11
ame,The Americas,1880,3.61214E+11
ame,The Americas,1890,4.86027E+11
ame,The Americas,1900,6.90354E+11
ame,The Americas,1910,1.03513E+12
ame,The Americas,1920,1.31091E+12
ame,The Americas,1930,1.71377E+12
ame,The Americas,1940,2.08487E+12
ame,The Americas,1950,3.32767E+12
ame,The Americas,1951,3.54877E+12
ame,The Americas,1952,3.67864E+12
ame,The Americas,1953,3.82934E+12
ame,The Americas,1954,3.85753E+12
ame,The Americas,1955,4.12988E+12
ame,The Americas,1956,4.25108E+12
ame,The Americas,1957,4.38306E+12
ame,The Americas,1958,4.40599E+12
ame,The Americas,1959,4.66186E+12
ame,The Americas,1960,4.8283E+12
ame,The Americas,1961,4.97529E+12
ame,The Americas,1962,5.25516E+12
ame,The Americas,1963,5.46136E+12
ame,The Americas,1964,5.79394E+12
ame,The Americas,1965,6.13832E+12
ame,The Americas,1966,6.51831E+12
ame,The Americas,1967,6.71671E+12
ame,The Americas,1968,7.05874E+12
ame,The Americas,1969,7.34425E+12
ame,The Americas,1970,7.48251E+12
